query,expected_answer,output,exact_match,fuzzy_match,similarity,input_tokens,output_tokens,expected_tokens,total_tokens,semantic_similarity
What's the interactions between Lepirudin and Apixaban?,Apixaban may increase the anticoagulant activities of Lepirudin.,The interaction between Lepirudin and Apixaban is that Apixaban may increase the anticoagulant activities of Lepirudin.,False,False,0.7,15,32,18,47,0.9541641
What's the interactions between Lepirudin and Dabigatran etexilate?,Dabigatran etexilate may increase the anticoagulant activities of Lepirudin.,The interactions between Lepirudin and Dabigatran etexilate are that Dabigatran etexilate may increase the anticoagulant activities of Lepirudin. This information was retrieved from the ddi table using the provided SQL query.,False,False,0.5,20,57,23,77,0.89127547
What's the interactions between Lepirudin and Dasatinib?,The risk or severity of bleeding and hemorrhage can be increased when Dasatinib is combined with Lepirudin.,The interactions between Lepirudin and Dasatinib include an increased risk or severity of bleeding and hemorrhage when these two drugs are combined. This interaction is noted in the description stored in the ddi table.,False,False,0.44,15,44,25,59,0.9373669
What's the interactions between Lepirudin and Deferasirox?,The risk or severity of gastrointestinal bleeding can be increased when Lepirudin is combined with Deferasirox.,The interactions between Lepirudin and Deferasirox are that the risk or severity of gastrointestinal bleeding can be increased when these two drugs are combined. This information is based on the description provided in the DDI table.,False,False,0.56,17,47,25,64,0.9147111
What's the interactions between Lepirudin and Ursodeoxycholic acid?,The risk or severity of bleeding and bruising can be increased when Lepirudin is combined with Ursodeoxycholic acid.,The interactions between Lepirudin and Ursodeoxycholic acid are that the risk or severity of bleeding and bruising can be increased when these two drugs are combined.,False,False,0.58,18,36,28,54,0.95322967
What's the interactions between Lepirudin and Glycochenodeoxycholic Acid?,The risk or severity of bleeding and bruising can be increased when Lepirudin is combined with Glycochenodeoxycholic Acid.,There are no interactions between Lepirudin (DB00001) and Glycochenodeoxycholic Acid (DB02020) in the ddi table.,False,False,0.51,20,35,30,55,0.5791136
What's the interactions between Lepirudin and Cholic Acid?,The risk or severity of bleeding and bruising can be increased when Lepirudin is combined with Cholic Acid.,The interaction between Lepirudin and Cholic Acid is that the risk or severity of bleeding and bruising can be increased when they are combined.,False,False,0.64,15,31,25,46,0.9662509
What's the interactions between Lepirudin and Glycocholic acid?,The risk or severity of bleeding and bruising can be increased when Lepirudin is combined with Glycocholic acid.,The interaction between Lepirudin and Glycocholic acid is that the risk or severity of bleeding and bruising can be increased when these two drugs are combined. This information was retrieved from the ddi table where Lepirudin and Glycocholic acid are listed as interacting drugs in the description field.,False,False,0.47,17,66,27,83,0.91462696
What's the interactions between Lepirudin and Deoxycholic acid?,The risk or severity of bleeding and bruising can be increased when Lepirudin is combined with Deoxycholic acid.,The interaction between Lepirudin and Deoxycholic acid is that the risk or severity of bleeding and bruising can be increased when these two drugs are combined.,False,False,0.6,17,35,27,52,0.94573164
What's the interactions between Lepirudin and Taurocholic acid?,The risk or severity of bleeding and bruising can be increased when Lepirudin is combined with Taurocholic acid.,The interactions between Lepirudin and Taurocholic acid involve an increased risk or severity of bleeding and bruising when the two drugs are combined. The description in the database states that this combination can lead to these adverse effects.,False,False,0.4,17,48,27,65,0.9425391
What's the interactions between Lepirudin and Obeticholic acid?,The risk or severity of bleeding and bruising can be increased when Lepirudin is combined with Obeticholic acid.,The interaction between Lepirudin and Obeticholic acid is that the risk or severity of bleeding and bruising can be increased when these two drugs are combined.,False,False,0.6,17,35,27,52,0.94483227
What's the interactions between Lepirudin and Chenodeoxycholic acid?,The risk or severity of bleeding and bruising can be increased when Lepirudin is combined with Chenodeoxycholic acid.,The interactions between Lepirudin and Chenodeoxycholic acid involve an increase in the risk or severity of bleeding and bruising when the two drugs are combined. This information is based on the description provided in the ddi table for these two drugs.,False,False,0.42,18,53,28,71,0.9096284
What's the interactions between Lepirudin and Taurochenodeoxycholic acid?,The risk or severity of bleeding and bruising can be increased when Lepirudin is combined with Taurochenodeoxycholic acid.,The interactions between Lepirudin and Taurochenodeoxycholic acid are that the risk or severity of bleeding and bruising can be increased when these two drugs are combined. This information is based on the description in the ddi table.,False,False,0.5,20,51,30,71,0.92176443
What's the interactions between Lepirudin and Tauroursodeoxycholic acid?,The risk or severity of bleeding and bruising can be increased when Lepirudin is combined with Tauroursodeoxycholic acid.,The interaction between Lepirudin and Tauroursodeoxycholic acid is that the risk or severity of bleeding and bruising can be increased when these two drugs are combined. This information was retrieved from the ddi table where Lepirudin and Tauroursodeoxycholic acid were found to have this interaction.,False,False,0.51,20,69,30,89,0.93430036
What's the interactions between Lepirudin and Bamet-UD2?,The risk or severity of bleeding and bruising can be increased when Lepirudin is combined with Bamet-UD2.,The interaction between Lepirudin and Bamet-UD2 is that the risk or severity of bleeding and bruising can be increased when they are combined.,False,False,0.65,17,33,27,50,0.96606797
What's the interactions between Lepirudin and Dehydrocholic acid?,The risk or severity of bleeding and bruising can be increased when Lepirudin is combined with Dehydrocholic acid.,"The interactions between Lepirudin and Dehydrocholic acid include an increased risk or severity of bleeding and bruising when they are combined. This information is derived from the ddi table in the database, specifically from the rows where Lepirudin is listed as one of the drugs.",False,False,0.37,17,61,27,78,0.93163127
What's the interactions between Lepirudin and Hyodeoxycholic Acid?,The risk or severity of bleeding and bruising can be increased when Lepirudin is combined with Hyodeoxycholic Acid.,The interactions between Lepirudin and Hyodeoxycholic Acid involve an increased risk or severity of bleeding and bruising when the two drugs are combined. This information was retrieved from the ddi table in the database.,False,False,0.43,18,46,28,64,0.92679155
What's the interactions between Lepirudin and Edoxaban?,The risk or severity of bleeding can be increased when Edoxaban is combined with Lepirudin.,The interactions between Lepirudin and Edoxaban are that the risk or severity of bleeding can be increased when Edoxaban is combined with Lepirudin. This information is based on the data retrieved from the ddi table using the provided SQL query.,False,False,0.54,16,57,23,73,0.8911994
What's the interactions between Lepirudin and Ibrutinib?,The risk or severity of bleeding and hemorrhage can be increased when Ibrutinib is combined with Lepirudin.,The interactions between Lepirudin and Ibrutinib are that the risk or severity of bleeding and hemorrhage can be increased when they are combined. This information is based on the description in the ddi table where the drug_id 'DB00001' (Lepirudin) is interacting with the drug_id 'DB09053' (Ibrutinib).,False,False,0.46,17,79,27,96,0.87021977
What's the interactions between Lepirudin and Obinutuzumab?,The risk or severity of bleeding and hemorrhage can be increased when Lepirudin is combined with Obinutuzumab.,Response: The interaction between Lepirudin and Obinutuzumab is that the risk or severity of bleeding and hemorrhage can be increased when they are combined.,False,False,0.61,18,36,28,54,0.9482659
What's the interactions between Lepirudin and Rivaroxaban?,Lepirudin may increase the anticoagulant activities of Rivaroxaban.,"The interactions between Lepirudin and Rivaroxaban are that Lepirudin may increase the anticoagulant activities of Rivaroxaban, and vice versa, Rivaroxaban may increase the anticoagulant activities of Lepirudin.",False,False,0.48,16,57,19,73,0.8863501
What's the interactions between Lepirudin and Sugammadex?,The risk or severity of bleeding and hemorrhage can be increased when Lepirudin is combined with Sugammadex.,The interaction between Lepirudin and Sugammadex is that the risk or severity of bleeding and hemorrhage can be increased when they are combined. This suggests that caution should be exercised when these two drugs are taken together.,False,False,0.55,15,46,25,61,0.9459265
What's the interactions between Lepirudin and Tibolone?,Tibolone may increase the anticoagulant activities of Lepirudin.,The interaction between Lepirudin and Tibolone is that Tibolone may increase the anticoagulant activities of Lepirudin.,False,False,0.7,15,32,19,47,0.967176
What's the interactions between Lepirudin and Tipranavir?,The risk or severity of bleeding and hemorrhage can be increased when Tipranavir is combined with Lepirudin.,There are no interactions between Lepirudin (DB00001) and Tipranavir (DB01599) in the ddi table.,False,False,0.41,16,31,26,47,0.59959626
What's the interactions between Lepirudin and Urokinase?,Urokinase may increase the anticoagulant activities of Lepirudin.,The interaction between Lepirudin and Urokinase is that Urokinase may increase the anticoagulant activities of Lepirudin.,False,False,0.7,16,34,19,50,0.9661772
What's the interactions between Lepirudin and Vitamin E?,Vitamin E may increase the anticoagulant activities of Lepirudin.,The interaction between Lepirudin and Vitamin E is that Vitamin E may increase the anticoagulant activities of Lepirudin.,False,False,0.7,14,30,18,44,0.95219076
What's the interactions between Lepirudin and Vorapaxar?,The risk or severity of bleeding and hemorrhage can be increased when Vorapaxar is combined with Lepirudin.,The interactions between Lepirudin and Vorapaxar include an increased risk or severity of bleeding and hemorrhage when they are combined. This indicates that there may be a potential adverse effect when these two drugs are used together.,False,False,0.41,16,47,26,63,0.9356004
What's the interactions between Lepirudin and Ginkgo biloba?,Ginkgo biloba may increase the anticoagulant activities of Lepirudin.,The interaction between Lepirudin and Ginkgo biloba is that Ginkgo biloba may increase the anticoagulant activities of Lepirudin.,False,False,0.7,17,36,20,53,0.9665937
